09:07:20.768 -> timestamp,accel_x,accel_y,accel_z,sound_level
09:07:30.364 -> 11198,0.001831,-1.010620,-0.014160,9
09:07:30.495 -> 11298,0.015747,-1.010254,-0.003540,6
09:07:30.593 -> 11398,0.010254,-1.010864,-0.005615,2
09:07:30.693 -> 11498,0.008179,-1.009766,-0.005981,3
09:07:30.792 -> 11598,0.015503,-1.015137,-0.012939,3
09:07:30.891 -> 11698,0.052734,-1.009521,0.000610,5
09:07:30.990 -> 11798,-0.006470,-1.002686,-0.001221,23
09:07:31.087 -> 11898,-0.002197,-1.012817,-0.009766,14
09:07:31.187 -> 11998,0.014648,-1.024048,0.003174,9
09:07:31.286 -> 12098,0.011475,-1.005737,-0.001343,135
09:07:31.385 -> 12198,0.014038,-1.029419,-0.009888,107
09:07:31.483 -> 12298,-0.016846,-1.014771,-0.009521,119
09:07:31.583 -> 12398,-0.001221,-1.000977,-0.017212,138
09:07:31.681 -> 12498,-0.010986,-1.028076,-0.000244,116
09:07:31.781 -> 12598,0.013916,-0.998901,-0.012451,180
09:07:31.879 -> 12698,0.025269,-1.023926,-0.003296,129
09:07:31.978 -> 12798,0.004395,-1.011719,-0.010986,125
09:07:32.077 -> 12898,0.028564,-1.009766,-0.003052,98
09:07:32.176 -> 12998,0.002441,-1.029663,-0.001465,136
09:07:32.275 -> 13098,-0.014160,-1.006836,-0.004150,118
09:07:32.374 -> 13198,0.028320,-1.010010,0.004150,94
09:07:32.474 -> 13298,0.001221,-0.987549,-0.027222,86
09:07:32.572 -> 13398,0.009155,-1.021729,-0.005005,140
09:07:32.671 -> 13498,0.015259,-1.020142,-0.006226,107
09:07:32.769 -> 13598,0.015259,-1.016113,-0.035889,146
09:07:32.867 -> 13698,-0.000244,-0.999390,-0.003784,111
09:07:32.966 -> 13798,0.004883,-1.003052,-0.010864,123
09:07:33.063 -> 13898,0.039917,-1.018311,0.006348,124
09:07:33.163 -> 13998,0.016846,-0.997681,-0.002441,125
09:07:33.294 -> 14098,-0.004150,-1.023315,-0.003052,125
09:07:33.393 -> 14198,-0.006592,-0.991089,-0.002319,117
09:07:33.493 -> 14298,0.014160,-1.018188,-0.026489,107
09:07:33.593 -> 14398,0.006226,-1.020386,-0.021484,114
09:07:33.692 -> 14498,-0.006470,-1.023682,-0.008423,120
09:07:33.791 -> 14598,0.010742,-0.995239,-0.007812,122
